,date,info,totalPayment,category,source
2,2021-04-15,Insurance Meo,5000.0,Insurances,Bank
4,2021-04-26,House rental 2021.04,121000.0,Housing,Bank
11,2021-04-30,Kindergarten Puppy (deducted on 05/06),65000.0,Kids,Bank
17,2021-04-15,Insurace Vit,2000.0,Insurances,Bank
20,2021-04-30,Meo pocket money,10000.0,Allowance,Bank
21,2021-04-30,Vit pocket money,20000.0,Allowance,Bank
22,2021-04-27,Flu (Meo),2170.0,Medical,Bank
26,2021-04-01,Unknown Loss,32842.0,Unknown,Cash
29,2021-04-04,Lopia,6697.0,Groceries,Cash
30,2021-04-07,Water Bills (2 months),5222.0,Utilities,Cash
32,2021-04-11,Lopia,4731.0,Groceries,Cash
33,2021-04-12,PR documents,460.0,Other Expense,Cash
34,2021-04-12,Lopia,4694.0,Groceries,Cash
35,2021-04-15,Lopia,6678.0,Groceries,Cash
36,2021-04-19,Lopia,7683.0,Groceries,Cash
37,2021-04-22,PR documents,3200.0,Other Expense,Cash
38,2021-04-22,Bank documents,300.0,Other Expense,Cash
39,2021-04-27,Lopia,3072.0,Groceries,Cash
40,2021-04-30,Japanese Lesson,27000.0,Education,Cash
41,2021-04-30,Unclear Cash Payment,18000.0,Unknown,Cash
49,2021-04-30,"Electric, Gas",9878.0,Utilities,Paypay
50,2021-04-30,To Sieu (Food),5755.0,Groceries,Paypay
52,2021-04-03,"Electric, Gas",10010.0,Utilities,Paypay
